Date	Game	Song	Group	Composers	Converters	Binary	Audio	Duration	Tracks	Categories	Notes
|	|Banjo-Kazooie	|Red Feather Collect	|minoritems	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Red Feather Collect by gloomy (8e46120d-ec9a-4524-8607-4507791752ba).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113492827423391925/BK_Red_Feather_Collect.mp3	|1.846152	|3	|Collection	|
|	|Banjo-Kazooie	|Small Item	|minoritems	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Small Item by gloomy (baa6811b-5d3b-43ca-adf0-204347ce3690).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113493627902115960/BK_Small_Item.mp3	|1.50390625	|3	|Collection	|
|	|Banjo-Kazooie	|Jiggy Collection	|majoritems	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Jiggy Collection by Bismuth (a31e4cb9-2f68-4c08-b28c-88e6b64c493c).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505733383110656/JiggyCollection.mp3	|3.8031753750000004	|11	|Collection	|
|	|Banjo-Tooie	|Banjo House Blues	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Banjo House Blues by Ballaam (1120b920-a146-4317-a5fd-0afa316bc504).bin	|https://youtu.be/SM4EQ7kc2fA	|70.59167645833364	|6	|Gloomy, Interiors, Lobbies/Shops	|
|	|Banjo-Tooie	|Boggys Igloo	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Boggys Igloo by Ballaam (b49a329d-864a-48a7-9da7-ccec1dcb8ecc).bin	|https://youtu.be/xq_tTvYoH-U	|91.20000000000003	|5	|Happy, Calm, Interiors	|
|	|Banjo-Tooie	|Bottles House	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Bottles House by gloomy (0a070482-e7c2-48fd-90b3-acc9a4fa1cdc).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1100895994704568400/BT_Bottles_House.mp3	|54.55118182291662	|6	|Exteriors, Lobbies and Shops, Calm, Happy	|
|	|Banjo-Tooie	|Cauldron Keep (Interior)	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Cauldron Keep (Interior) by Ballaam (9e49d3d8-2bd2-4d67-8e6f-f032e7ede701).bin	|https://youtu.be/oNDRQByRTKg	|152.393854800002	|5	|Gloomy, Calm, Interiors	|
|	|Banjo-Tooie	|Cauldron Keep	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Cauldron Keep by Ballaam (05be61b9-6ef8-4de3-b6fc-a4e51d154815).bin	|https://youtu.be/lO4pq8yMqeo	|152.34516000000175	|7	|Gloomy, Calm, Exteriors	|
|	|Banjo-Tooie	|Race with Canary Mary (Cloud Cuckooland)	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Race with Canary Mary (Cloud Cuckooland) by Ballaam (2a888e1a-8357-47cc-8717-4086d5c904f1).bin	|https://youtu.be/vqRMq8YRvmE	|77.432	|8	|Happy, Minigames	|
|	|Banjo-Tooie	|Chilli Fights	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Chilli Fights by Ballaam (d9707017-a8a0-479d-af4e-f6c9e163c8c3).bin	|https://youtu.be/tJZIf9mJii4	|126.39999999999756	|12	|Fights, Happy	|
